,mf_128
MAP@1,0.13455874202425927
MAP@3,0.2099566627497662
MAP@5,0.256635039688919
NDCG@1,0.3748275862068965
NDCG@3,0.3440545798475005
NDCG@5,0.3714438898578913
Recall@1,0.13455874202425927
Recall@3,0.25919336889164474
Recall@5,0.3704873172804207
