,mf-du_128
MAP@1,0.1565738189014051
MAP@3,0.2354383941409804
MAP@5,0.28213706233102787
NDCG@1,0.4186206896551724
NDCG@3,0.37184849030226286
NDCG@5,0.39835285071173454
Recall@1,0.1565738189014051
Recall@3,0.28263028638028637
Recall@5,0.39517267406922585
