,rel-mf_128
MAP@1,0.14835702037426174
MAP@3,0.22814600724945552
MAP@5,0.2758323763879798
NDCG@1,0.3958620689655172
NDCG@3,0.36586921959939456
NDCG@5,0.3922051359132113
Recall@1,0.14835702037426174
Recall@3,0.2818664630388768
Recall@5,0.3926439642732746
